time	sem_cooling	sem_heating
0	3.630	2.062
15	3.601	2.065
30	3.557	2.068
45	3.510	2.079
60	3.463	2.092
75	3.417	2.108
90	3.371	2.128
105	3.327	2.154
120	3.283	2.177
135	3.241	2.210
150	3.201	2.242
165	3.161	2.277
180	3.119	2.317
195	3.080	2.357
210	3.044	2.397
225	3.002	2.448
240	2.963	2.491
255	2.926	2.540
270	2.891	2.587
285	2.856	2.627
300	2.822	2.660
315	2.790	2.684
330	2.757	2.709
345	2.725	2.741
360	2.694	2.756
375	2.665	2.763
390	2.634	2.768
405	2.603	2.771
420	2.573	2.779
435	2.543	2.792
450	2.515	2.818
465	2.490	2.859
480	2.467	2.916
495	2.467	2.999
510	2.478	3.102
525	2.482
540	2.480
555	2.474
570	2.462
585	2.453
600	2.455
615	2.463
630	2.468
645	2.463
660	2.442
675	2.399
690	2.320
705	2.217
720	2.141
735	2.113
750	2.094
